wingo,year
AGORA Club International,2013
APEC Women Leaders' Network,2013
ASEAN Confederation of Women's Organizations,2003
ASEAN Confederation of Women's Organizations,2008
ASEAN Confederation of Women's Organizations,2013
ASTRA - Central and Eastern European Women's Network for Sexual and Reproductive Health and Rights,2003
ASTRA - Central and Eastern European Women's Network for Sexual and Reproductive Health and Rights,2008
ASTRA - Central and Eastern European Women's Network for Sexual and Reproductive Health and Rights,2013
Advanced Thematic Network for Activities in Women's Studies,2003
Advanced Thematic Network for Activities in Women's Studies,2008
Advocates for African Food Security - Lessening the Burden for Women,20l3
African Association of Women Geoscientists,2013
African Federation of Women Entrepeneurs,1998
African Federation of Women Entrepreneurs,2003
African Network for Support to Women Entrepreneurs,2013
African Network of Support to Women Entrepeneurs,1998
African Network of Support to Women Entrepeneurs,2003
African Network of Support to Women Entrepeneurs,2008
African Women's Development and Communication Network,1998
African Women's Development and Communication Network,2003
African Women's Development and Communication Network,2008
African Women's Development and Communication Network,2013
African Women's Economic Policy Network,2013
Alliance for Arab Women,1998
Alliance for Arab Women,2008
Alliance for Arab Women,2013
Altrusa International,1955
Altrusa International,1960
Altrusa International,1965
Altrusa International,1973
Altrusa International,1978
Altrusa International,1983
Altrusa International,1988
Altrusa International,1993
Altrusa International,1998
Altrusa International,2003
Altrusa International,2008
Altrusa International,2013
Arab Women Solidarity Association,1988
Arab Women Solidarity Association,1993
Arab Women Solidarity Association,1998
Arab Women Solidarity Association,2003
Arab Women Solidarity Association,2008
Arab Women's Solidarity Association,2013
"Asia Pacific Forum on Women, Law and Development",1993
"Asia Pacific Forum on Women, Law and Development",1998
"Asia Pacific Forum on Women, Law and Development",2003
"Asia Pacific Forum on Women, Law and Development",2013
"Asia Pacific Forum on Women, Law and Development",2014
Asia Safe Abortion Partnership,2013
Asia-Oceania Meeting of Religious,2003
Asia-Oceania Meeting of Religious,2008
Asia-Oceania Meeting of Religious,2013
Asian Church Women's Conference,2008
Asian Church Women's Conference,2013
Asian Indigenous Women's Network,2008
Asian Indigenous Women's Network,2013
Asian Pacific Resource and Research Centre for Women,2003
Asian Pacific Resource and Research Centre for Women,2008
Asian Society for Female Urology,2008
Asian Women and Shelter Network,1998
Asian Women and Shelter Network,2003
Asian Women and Shelter Network,2008
Asian Women in Cooperative Development Forum,2008
Asian Women in Cooperative Development Forum,2013
Asian Women's Human Rights Council,1998
Asian Women's Human Rights Council,2003
Asian Women's Human Rights Council,2008
Asian Women's Human Rights Council,2013
Asian Women's Institute,1983
Asian Women's Institute,1988
Asian Women's Institute,1993
Asian Women's Institute,1998
Asian Women's Resource Center for Culture and Theology,1993
Asian Women's Resource Center for Culture and Theology,1998
Asian Women's Resource Center for Culture and Theology,2003
Asian Women's Resource Center for Culture and Theology,2008
Asian Women's Resource Centre for Culture and Theology,2013
Asian Women's Resource Exchange,2008
Asian-Pacific Resource and Research Centre for Women,2013
Associated Country Women of the World,1950
Associated Country Women of the World,1955
Associated Country Women of the World,1960
Associated Country Women of the World,1965
Associated Country Women of the World,1973
Associated Country Women of the World,1978
Associated Country Women of the World,1983
Associated Country Women of the World,1988
Associated Country Women of the World,1993
Associated Country Women of the World,1998
Associated Country Women of the World,2003
Associated Country Women of the World,2008
Associated Country Women of the World,2013
Association Catholique Internationale de Services pour la Jeunesse Fí€Œ©minine,2013
Association Internationale des Femmes Francophones,1998
Association Internationale des Femmes Francophones,2003
Association Internationale des Femmes Francophones,2008
Association de Solidarite Femmes du Mahgreb et de la Communaute Europeenne,1998
Association des femmes de l'Europe meridionale,2003
Association des femmes de l'Europe meridionale,2008
Association des femmes de l'Europe mí€Œ©ridionale,2013
Association for African Women for Research & Dev,1993
Association for African Women for Research & Dev,1998
Association for African Women for Research & Dev,2003
Association for African Women for Research & Dev,2008
Association for Women's Rights in Development,2003
Association for Women's Rights in Development,2008
Association for Women's Rights in Development,2013
Association internationale des femmes francophones,2013
Association of African Women Specialized in Communication,1998
Association of African Women for Research and Development,2013
Association of Federations and Associations of Business Women in the Mediterranean,2008
Association of Federations and Associations of Business Women in the Mediterranean,2013
Association of Interbalkan Women's Cooperation Societies,2003
Association of Interbalkan Women's Cooperation Societies,2008
"Association of Interbalkan Women's Cooperation Societies, Thessaloniki",2013
Association of Women of the Mediterranean Region,1998
Association of Women of the Mediterranean Region,2003
Association of Women of the Mediterranean Region,2013
Associations of Institutions for Feminist Education and Research in Europe,2003
BPW Europe - European Region of BPW International,2013
Baptist Women's Union of the South West Pacific,2013
Baptist Women's Union of the Southwest Pacific,2003
Baptist Women's Union of the Southwest Pacific,2008
Caribbean Association for Feminist Research and Action,1993
Caribbean Association for Feminist Research and Action,1998
Caribbean Association for Feminist Research and Action,2003
Caribbean Association for Feminist Research and Action,2008
Caribbean Association for Feminist Research and Action,2013
Caribbean Women's Association,1998
Caribbean Women's Association,2013
Catholics for a Free Choice,1998
Catholics for a Free Choice,2008
Catolicas por el Derecho a Decidir,2003
Catolicas por el Derecho a Decidir,2008
Catí€Œ_licas por el Derecho a Decidir (CDD),2013
Center of Arab Women for Training and Research,2008
"Center of Arab Women for Training and Research, Tunis",2013
Centre d'expertises socio-politiques et de mí€Œ©diations,2013
Centro Latinoamericano Salud y Mujer,2013
Centro de Estudios la Mujer en la Historia de Amí€Œ©rica Latina,2013
Christian Democratic Women of America,1998
Christian Democratic Women of America,2003
Christian Democratic Women of America,2013
Christian Democratic Women of America,2014
Circle of Concerned African Women Theologians,2008
Circle of Concerned African Women Theologians,2013
Coalition Against Trafficking in Women,1993
Coalition Against Trafficking in Women,1998
Coalition Against Trafficking in Women,2003
Coalition Against Trafficking in Women,2013
Coalition Against Trafficking in Women - Latin America,2013
Coalition against Trafficking in Women,2008
Coalition against Trafficking in Women- Latin America,2008
Coalition against Trafficking in Women-Latin America,2003
Coalition of African Lesbians,2013
Collectif 95 Maghreb Egalite,2003
Collectif 95 Maghreb Egalite,2008
Comisií€Œ_n Interamericana de Mujeres,2013
Commission Women's Concern,1998
Committee for Asian Women,1998
Committee for Asian Women,2003
Committee for Asian Women,2008
Committee for Asian Women,2013
Committee of 200,2003
Committee of 200,2008
Committee of 200,2013
Commonwealth Countries' League,1983
Commonwealth Countries' League,1988
Commonwealth Countries' League,1993
Commonwealth Nurses Federation,1978
Commonwealth Nurses Federation,1983
Commonwealth Nurses Federation,1988
